guid,nyu.libraries.collection,dc.title,dc.identifier,dc.source,dc.language,dc.extent,dc.extent,dc.coverage.temporal,dc.coverage.temporal,dc.accrualPeriodicity,dc.coverage.spatial,dc.coverage.spatial,dc.coverage.spatial,dc.coverage.spatial,dc.coverage.jurisdiction
aggregatedNewspapers6495,AggregatedNewspapers,"The Tennessean ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6496,AggregatedNewspapers,"The Timaru Herald ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6497,AggregatedNewspapers,"The Times ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6498,AggregatedNewspapers,"The Times of Malta ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6499,AggregatedNewspapers,"The Times Weekend ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6500,AggregatedNewspapers,"The Zimbabwean ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6501,AggregatedNewspapers,"Times of India Mumbai edition ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6502,AggregatedNewspapers,"Times of India New Delhi Edition ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6503,AggregatedNewspapers,"Times-Colonist, Victoria ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6504,AggregatedNewspapers,"Today ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6505,AggregatedNewspapers,"Tolnai Nepujsag ",,"PressDisplay","Hungarian","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6506,AggregatedNewspapers,"Toronto Star ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6507,AggregatedNewspapers,"Townsville Bulletin ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6508,AggregatedNewspapers,"Tribune De Geneve ",,"PressDisplay","French","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6509,AggregatedNewspapers,"Tuttosport ",,"PressDisplay","Italian","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6510,AggregatedNewspapers,"Udayavani Daily ",,"PressDisplay","Kannada ","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6511,AggregatedNewspapers,"USA Today ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6512,AggregatedNewspapers,"Vancouver Sun ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6513,AggregatedNewspapers,"Vilaggazdasag ",,"PressDisplay","Hungarian","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6514,AggregatedNewspapers,"Vorarlberger Nachrichten ",,"PressDisplay","German","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6515,AggregatedNewspapers,"Waikato Times ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6516,AggregatedNewspapers,"Walker County Messenger ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6517,AggregatedNewspapers,"Wall Street Journal ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6518,AggregatedNewspapers,"Wall Street Journal Asia ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6519,AggregatedNewspapers,"Wall Street Journal Europe ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6520,AggregatedNewspapers,"Washington Post ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6521,AggregatedNewspapers,"Washington Times Daily ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6522,AggregatedNewspapers,"Washington Times Weekly ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6523,AggregatedNewspapers,"Wimberley View ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6524,AggregatedNewspapers,"Windsor Star ",,"PressDisplay","English","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6525,AggregatedNewspapers,"Wirtschaftsblatt ",,"PressDisplay","German","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6526,AggregatedNewspapers,"Ziarul Financiar ",,"PressDisplay","Romanian ","Full Text","Full Text","Today","60 Days","Daily",,,,,
aggregatedNewspapers6527,AggregatedNewspapers,"ARTVOICE",,"ProQuest - Alt-Press Watch","English",,,37274,37853,,,,,,
aggregatedNewspapers6528,AggregatedNewspapers,"Arkansas Times",,"ProQuest - Alt-Press Watch","English",,,36539,"Current",,,,,,
aggregatedNewspapers6529,AggregatedNewspapers,"Athens News, The",,"ProQuest - Alt-Press Watch","English",,,36528,"Current",,,,,,
aggregatedNewspapers6530,AggregatedNewspapers,"Beacon Hill Times, The",,"ProQuest - Alt-Press Watch","English",,,37411,"Current",,,,,,
aggregatedNewspapers6531,AggregatedNewspapers,"Birmingham Weekly",,"ProQuest - Alt-Press Watch","English",,,36972,"Current",,,,,,
aggregatedNewspapers6532,AggregatedNewspapers,"Boise Weekly",,"ProQuest - Alt-Press Watch","English",,,37369,"Current",,,,,,
aggregatedNewspapers6533,AggregatedNewspapers,"Broward - Palm Beach New Times",,"ProQuest - Alt-Press Watch","English",,,37168,"Current",,,,,,
aggregatedNewspapers6534,AggregatedNewspapers,"City Paper; Philadelphia, Pa.",,"ProQuest - Alt-Press Watch","English",,,36895,"Current",,,,,,
aggregatedNewspapers6535,AggregatedNewspapers,"Cityview; Des Moines, Iowa",,"ProQuest - Alt-Press Watch","English",,,37405,"Current",,,,,,
aggregatedNewspapers6536,AggregatedNewspapers,"Cleveland Scene",,"ProQuest - Alt-Press Watch","English",,,37049,"Current",,,,,,
aggregatedNewspapers6537,AggregatedNewspapers,"Colorado Springs Independent",,"ProQuest - Alt-Press Watch","English",,,36130,"Current",,,,,,
aggregatedNewspapers6538,AggregatedNewspapers,"Columbus Alive",,"ProQuest - Alt-Press Watch","English",,,35080,"Current",,,,,,
aggregatedNewspapers6539,AggregatedNewspapers,"Creative Loafing",,"ProQuest - Alt-Press Watch","English",,,37663,"Current",,,,,,
aggregatedNewspapers6540,AggregatedNewspapers,"Creative Loafing; Atlanta",,"ProQuest - Alt-Press Watch","English",,,39051,"Current",,,,,,
aggregatedNewspapers6541,AggregatedNewspapers,"Creative Loafing; Charlotte",,"ProQuest - Alt-Press Watch","English",,,37663,"Current",,,,,,
aggregatedNewspapers6542,AggregatedNewspapers,"Current",,"ProQuest - Alt-Press Watch","English",,,36922,"Current",,,,,,
aggregatedNewspapers6543,AggregatedNewspapers,"Dallas Observer",,"ProQuest - Alt-Press Watch","English",,,37049,"Current",,,,,,
aggregatedNewspapers6544,AggregatedNewspapers,"Dayton City Paper",,"ProQuest - Alt-Press Watch","English",,,,,,,,,,
aggregatedNewspapers6545,AggregatedNewspapers,"Disclosure",,"ProQuest - Alt-Press Watch","English",,,36830,"Current",,,,,,
aggregatedNewspapers6546,AggregatedNewspapers,"Eugene Weekly",,"ProQuest - Alt-Press Watch","English",,,36776,"Current",,,,,,
aggregatedNewspapers6547,AggregatedNewspapers,"Express; Emeryville",,"ProQuest - Alt-Press Watch","English",,,37050,"Current",,,,,,
aggregatedNewspapers6548,AggregatedNewspapers,"Fifth Estate",,"ProQuest - Alt-Press Watch","English",,,34881,"Current",,,,,,
aggregatedNewspapers6549,AggregatedNewspapers,"Freethought Today",,"ProQuest - Alt-Press Watch","English",,,37591,"Current",,,,,,
aggregatedNewspapers6550,AggregatedNewspapers,"Gambit Weekly",,"ProQuest - Alt-Press Watch","English",,,36767,"Current",,,,,,
aggregatedNewspapers6551,AggregatedNewspapers,"High Country News",,"ProQuest - Alt-Press Watch","English",,,37613,"Current",,,,,,
aggregatedNewspapers6552,AggregatedNewspapers,"Houston Press",,"ProQuest - Alt-Press Watch","English",,,37049,"Current",,,,,,
aggregatedNewspapers6553,AggregatedNewspapers,"Hunter Envoy, The",,"ProQuest - Alt-Press Watch","English",,,37306,"Current",,,,,,
aggregatedNewspapers6554,AggregatedNewspapers,"Independent Weekly, The; Durham, N.C.",,"ProQuest - Alt-Press Watch","English",,,37349,"Current",,,,,,
aggregatedNewspapers6555,AggregatedNewspapers,"Industrial Worker",,"ProQuest - Alt-Press Watch","English",,,36219,"Current",,,,,,
aggregatedNewspapers6556,AggregatedNewspapers,"Inner City Press",,"ProQuest - Alt-Press Watch","English",,,38959,"Current",,,,,,
aggregatedNewspapers6557,AggregatedNewspapers,"Local Planet, The",,"ProQuest - Alt-Press Watch","English",,,36573,37924,,,,,,
aggregatedNewspapers6558,AggregatedNewspapers,"Louisville Eccentric Observer",,"ProQuest - Alt-Press Watch","English",,,34815,37825,,,,,,
aggregatedNewspapers6559,AggregatedNewspapers,"Memphis Flyer",,"ProQuest - Alt-Press Watch","English",,,36670,"Current",,,,,,
aggregatedNewspapers6560,AggregatedNewspapers,"Metroland",,"ProQuest - Alt-Press Watch","English",,,36951,"Current",,,,,,
aggregatedNewspapers6561,AggregatedNewspapers,"Miami New Times",,"ProQuest - Alt-Press Watch","English",,,37049,"Current",,,,,,
aggregatedNewspapers6562,AggregatedNewspapers,"Missoula Independent",,"ProQuest - Alt-Press Watch","English",,,36538,"Current",,,,,,
aggregatedNewspapers6563,AggregatedNewspapers,"Monterey County Weekly",,"ProQuest - Alt-Press Watch","English",,,37328,"Current",,,,,,
aggregatedNewspapers6564,AggregatedNewspapers,"Mountain Xpress",,"ProQuest - Alt-Press Watch","English",,,36536,"Current",,,,,,
aggregatedNewspapers6565,AggregatedNewspapers,"New Times; Los Angeles, Calif.",,"ProQuest - Alt-Press Watch","English",,,37049,37532,,,,,,
aggregatedNewspapers6566,AggregatedNewspapers,"Nuclear Resister",,"ProQuest - Alt-Press Watch","English",,,37363,"Current",,,,,,
aggregatedNewspapers6567,AggregatedNewspapers,"Pacific Sun",,"ProQuest - Alt-Press Watch","English",,,37558,"Current",,,,,,
aggregatedNewspapers6568,AggregatedNewspapers,"People's Weekly World; National Edition",,"ProQuest - Alt-Press Watch","English",,,35546,"Current",,,,,,
aggregatedNewspapers6569,AggregatedNewspapers,"Philadelphia Weekly",,"ProQuest - Alt-Press Watch","English",,,37461,"Current",,,,,,
aggregatedNewspapers6570,AggregatedNewspapers,"Phoenix New Times",,"ProQuest - Alt-Press Watch","English",,,37049,"Current",,,,,,
aggregatedNewspapers6571,AggregatedNewspapers,"PitchWeekly",,"ProQuest - Alt-Press Watch","English",,,37049,"Current",,,,,,
aggregatedNewspapers6572,AggregatedNewspapers,"Pittsburgh City Paper",,"ProQuest - Alt-Press Watch","English",,,37517,"Current",,,,,,
aggregatedNewspapers6573,AggregatedNewspapers,"Portland Mercury, The",,"ProQuest - Alt-Press Watch","English",,,38876,"Current",,,,,,
aggregatedNewspapers6574,AggregatedNewspapers,"Random Lengths",,"ProQuest - Alt-Press Watch","English",,,36755,"Current",,,,,,
aggregatedNewspapers6575,AggregatedNewspapers,"Reader; Chicago",,"ProQuest - Alt-Press Watch","English",,,36910,"Current",,,,,,
aggregatedNewspapers6576,AggregatedNewspapers,"Ripsaw",,"ProQuest - Alt-Press Watch","English",,,36191,38261,,,,,,
aggregatedNewspapers6577,AggregatedNewspapers,"Riverfront Times, The",,"ProQuest - Alt-Press Watch","English",,,37048,"Current",,,,,,
aggregatedNewspapers6578,AggregatedNewspapers,"S.F. Weekly",,"ProQuest - Alt-Press Watch","English",,,37048,"Current",,,,,,
aggregatedNewspapers6579,AggregatedNewspapers,"Salt Lake City Weekly",,"ProQuest - Alt-Press Watch","English",,,37126,"Current",,,,,,
aggregatedNewspapers6580,AggregatedNewspapers,"Santa Barbara Independent",,"ProQuest - Alt-Press Watch","English",,"FT Gap: 01/01/1992-12/31/1992",32877,"Current",,,,,,
aggregatedNewspapers6581,AggregatedNewspapers,"Santa Fe Reporter",,"ProQuest - Alt-Press Watch","English",,,37040,"Current",,,,,,
aggregatedNewspapers6582,AggregatedNewspapers,"Senior Reflections",,"ProQuest - Alt-Press Watch","English",,,36646,37469,,,,,,
aggregatedNewspapers6583,AggregatedNewspapers,"Seven Days",,"ProQuest - Alt-Press Watch","English",,,37580,"Current",,,,,,
aggregatedNewspapers6584,AggregatedNewspapers,"Solares Hill",,"ProQuest - Alt-Press Watch","English",,,37288,"Current",,,,,,
aggregatedNewspapers6585,AggregatedNewspapers,"Stranger, The",,"ProQuest - Alt-Press Watch","English",,,37727,"Current",,,,,,
aggregatedNewspapers6586,AggregatedNewspapers,"Syracuse New Times",,"ProQuest - Alt-Press Watch","English",,,36537,"Current",,,,,,
aggregatedNewspapers6587,AggregatedNewspapers,"Tennessee Communities",,"ProQuest - Alt-Press Watch","English",,,39142,"Current",,,,,,
aggregatedNewspapers6588,AggregatedNewspapers,"Texas Observer, The",,"ProQuest - Alt-Press Watch","English",,,36910,"Current",,,,,,
aggregatedNewspapers6589,AggregatedNewspapers,"Village Voice, The",,"ProQuest - Alt-Press Watch","English",,,34716,"Current",,,,,,
aggregatedNewspapers6590,AggregatedNewspapers,"Washington City Paper",,"ProQuest - Alt-Press Watch","English",,,36993,"Current",,,,,,
aggregatedNewspapers6591,AggregatedNewspapers,"Westword",,"ProQuest - Alt-Press Watch","English",,,37049,"Current",,,,,,
aggregatedNewspapers6592,AggregatedNewspapers,"Willamette Week",,"ProQuest - Alt-Press Watch","English",,,37370,38819,,,,,,
aggregatedNewspapers6593,AggregatedNewspapers,"Youth Today",,"ProQuest - Alt-Press Watch","English",,,37195,"Current",,,,,,
aggregatedNewspapers6594,AggregatedNewspapers,"ADA Update",,"ProQuest - Alt-Press Watch","English",,,01/31/1997,01/31/2001,,,,,,
aggregatedNewspapers6595,AggregatedNewspapers,"American Conservative",,"ProQuest - Alt-Press Watch","English",,,01/16/2006,"Current",,,,,,
aggregatedNewspapers6596,AggregatedNewspapers,"American Renaissance",,"ProQuest - Alt-Press Watch","English",,,01/01/2006,"Current",,,,,,
aggregatedNewspapers6597,AggregatedNewspapers,"Amnesty International",,"ProQuest - Alt-Press Watch","English",,,12/01/2004,"Current",,,,,,
aggregatedNewspapers6598,AggregatedNewspapers,"Discrimination Law Update",,"ProQuest - Alt-Press Watch","English",,,01/31/1998,01/31/2001,,,,,,
aggregatedNewspapers6599,AggregatedNewspapers,"Executive Session",,"ProQuest - Alt-Press Watch","English",,,01/31/1997,01/31/2001,,,,,,
aggregatedNewspapers6600,AggregatedNewspapers,"In These Times",,"ProQuest - Alt-Press Watch","English",,,01/01/2006,"Current",,,,,,
aggregatedNewspapers6601,AggregatedNewspapers,"Isthmus; Madison, Wis.",,"ProQuest - Alt-Press Watch","English",,,09/23/2005,"Current",,,,,,
aggregatedNewspapers6602,AggregatedNewspapers,"New Horizons in Adult Education",,"ProQuest - Alt-Press Watch","English",,,01/01/2006,"Current",,,,,,
aggregatedNewspapers6603,AggregatedNewspapers,"New York Education Personnel Update",,"ProQuest - Alt-Press Watch","English",,,01/31/1997,01/31/2001,,,,,,
aggregatedNewspapers6604,AggregatedNewspapers,"PRAccess",,"ProQuest - Alt-Press Watch","English",,,10/01/2006,"Current",,,,,,
aggregatedNewspapers6605,AggregatedNewspapers,"Psychotherapy Networker",,"ProQuest - Alt-Press Watch","English",,,01/01/1994,"Current",,,,,,
aggregatedNewspapers6606,AggregatedNewspapers,"Voice of Reason",,"ProQuest - Alt-Press Watch","English",,,01/01/2002,"Current",,,,,,
aggregatedNewspapers6607,AggregatedNewspapers,"Wild Matters",,"ProQuest - Alt-Press Watch","English",,,02/28/2002,07/31/2003,,,,,,
aggregatedNewspapers6608,AggregatedNewspapers,"African Times",,"ProQuest - Ethnic NewsWatch","English",,,36860,"Current",,,,,,
aggregatedNewspapers6609,AggregatedNewspapers,"Afro - American Red Star",,"ProQuest - Ethnic NewsWatch","English","Less-comprehensive Fulltext also available for Oct 1992-Mar 2006",,38815,"Current",,,,,,
aggregatedNewspapers6610,AggregatedNewspapers,"Akwesasne Notes",,"ProQuest - Ethnic NewsWatch","English",,"FT Gap: 01/01/1978-12/31/1981; 01/01/1983-12/31/1985; 01/01/1987-12/31/1989; 01/01/1993-12/31/1994",27637,35611,,,,,,
aggregatedNewspapers6611,AggregatedNewspapers,"Alberta Sweetgrass",,"ProQuest - Ethnic NewsWatch","English",,,34334,"Current",,,,,,
aggregatedNewspapers6612,AggregatedNewspapers,"Arab American News, The",,"ProQuest - Ethnic NewsWatch","English",,,34586,"Current",,,,,,
aggregatedNewspapers6613,AggregatedNewspapers,"Arab American View, The",,"ProQuest - Ethnic NewsWatch","English",,,36981,37374,,,,,,
aggregatedNewspapers6614,AggregatedNewspapers,"Armenian Reporter",,"ProQuest - Ethnic NewsWatch","English",,,33570,"Current",,,,,,
aggregatedNewspapers6615,AggregatedNewspapers,"Asian Pages",,"ProQuest - Ethnic NewsWatch","English",,,33526,"Current",,,,,,
aggregatedNewspapers6616,AggregatedNewspapers,"Asian Reporter",,"ProQuest - Ethnic NewsWatch","English",,,35933,"Current",,,,,,
aggregatedNewspapers6617,AggregatedNewspapers,"Asianweek",,"ProQuest - Ethnic NewsWatch","English",,,32591,"Current",,,,,,
aggregatedNewspapers6618,AggregatedNewspapers,"Atlanta Inquirer",,"ProQuest - Ethnic NewsWatch","English",,"FT Gap: 01/01/1993-12/31/1994",33411,"Current",,,,,,
aggregatedNewspapers6619,AggregatedNewspapers,"Au - Authm Action News",,"ProQuest - Ethnic NewsWatch","English",,,34425,"Current",,,,,,
aggregatedNewspapers6620,AggregatedNewspapers,"Bay State Banner",,"ProQuest - Ethnic NewsWatch","English",,,33668,"Current",,,,,,
aggregatedNewspapers6621,AggregatedNewspapers,"Bohemio News",,"ProQuest - Ethnic NewsWatch","English",,"FT Gap: 01/01/1998-12/31/1998",33429,"Current",,,,,,
aggregatedNewspapers6622,AggregatedNewspapers,"Boston Haitian Reporter",,"ProQuest - Ethnic NewsWatch","English",,,37011,"Current",,,,,,
aggregatedNewspapers6623,AggregatedNewspapers,"Boston Irish Reporter, The",,"ProQuest - Ethnic NewsWatch","English",,,34335,"Current",,,,,,
aggregatedNewspapers6624,AggregatedNewspapers,"Broward Times, The",,"ProQuest - Ethnic NewsWatch","English",,,37337,"Current",,,,,,
aggregatedNewspapers6625,AggregatedNewspapers,"Buffalo Spirit",,"ProQuest - Ethnic NewsWatch","English",,,36584,36707,,,,,,
aggregatedNewspapers6626,AggregatedNewspapers,"CVN, The",,"ProQuest - Ethnic NewsWatch","English",,,32888,"Current",,,,,,
aggregatedNewspapers6627,AggregatedNewspapers,"California Voice",,"ProQuest - Ethnic NewsWatch","English",,,33494,35834,,,,,,
aggregatedNewspapers6628,AggregatedNewspapers,"Call & Post; Cincinnati, Ohio",,"ProQuest - Ethnic NewsWatch","English",,"FT Gap: 01/01/1999-12/31/2001",33619,"Current",,,,,,
aggregatedNewspapers6629,AggregatedNewspapers,"Call & Post; Cleveland, Ohio",,"ProQuest - Ethnic NewsWatch","English",,,,,,,,,,
aggregatedNewspapers6630,AggregatedNewspapers,"Call & Post; Columbus, Ohio",,"ProQuest - Ethnic NewsWatch","English",,"FT Gap: 01/01/1995-12/31/2000",33640,"Current",,,,,,
aggregatedNewspapers6631,AggregatedNewspapers,"Caribbean Today",,"ProQuest - Ethnic NewsWatch","English",,"FT Gap: 01/01/1992-12/31/1993",32904,"Current",,,,,,
aggregatedNewspapers6632,AggregatedNewspapers,"Char - Koosta News",,"ProQuest - Ethnic NewsWatch","English",,,33522,"Current",,,,,,
aggregatedNewspapers6633,AggregatedNewspapers,"Cherokee Observer",,"ProQuest - Ethnic NewsWatch","English",,"FT Gap: 01/01/2000-04/30/2005",34365,"Current",,,,,,
aggregatedNewspapers6634,AggregatedNewspapers,"Cherokee Phoenix",,"ProQuest - Ethnic NewsWatch","English",,,33663,"Current",,,,,,
aggregatedNewspapers6635,AggregatedNewspapers,"Cherokee Voice, The",,"ProQuest - Ethnic NewsWatch","English",,,36341,37164,,,,,,
aggregatedNewspapers6636,AggregatedNewspapers,"Chicago Citizen",,"ProQuest - Ethnic NewsWatch","English",,,33553,"Current",,,,,,
aggregatedNewspapers6637,AggregatedNewspapers,"Chicago Defender",,"ProQuest - Ethnic NewsWatch","English",,,36486,"Current",,,,,,
aggregatedNewspapers6638,AggregatedNewspapers,"Chicago Independent Bulletin",,"ProQuest - Ethnic NewsWatch","English",,,35180,"Current",,,,,,
aggregatedNewspapers6639,AggregatedNewspapers,"Chicago Jewish Star",,"ProQuest - Ethnic NewsWatch","English",,,33976,"Current",,,,,,
aggregatedNewspapers6640,AggregatedNewspapers,"Chicago Weekend",,"ProQuest - Ethnic NewsWatch","English",,,33615,"Current",,,,,,
aggregatedNewspapers6641,AggregatedNewspapers,"Circle : News from an American Indian Perspective, The",,"ProQuest - Ethnic NewsWatch","English",,,34394,"Current",,,,,,
aggregatedNewspapers6642,AggregatedNewspapers,"Cleveland Jewish News, The",,"ProQuest - Ethnic NewsWatch","English",,,35013,"Current",,,,,,
aggregatedNewspapers6643,AggregatedNewspapers,"Columbus Times",,"ProQuest - Ethnic NewsWatch","English",,"FT Gap: 01/01/1991-12/31/1991",28914,"Current",,,,,,
aggregatedNewspapers6644,AggregatedNewspapers,"Confederated Umatilla Journal",,"ProQuest - Ethnic NewsWatch","English",,,35673,"Current",,,,,,
aggregatedNewspapers6645,AggregatedNewspapers,"Country Road Chronicles",,"ProQuest - Ethnic NewsWatch","English",,"FT Gap: 01/01/2005-12/31/2005",35677,"Current",,,,,,
aggregatedNewspapers6646,AggregatedNewspapers,"Cultural Survival Voices",,"ProQuest - Ethnic NewsWatch","English",,,37195,"Current",,,,,,
aggregatedNewspapers6647,AggregatedNewspapers,"Culvert Chronicles, The",,"ProQuest - Ethnic NewsWatch","English",,,39086,"Current",,,,,,
aggregatedNewspapers6648,AggregatedNewspapers,"El Diario La Prensa; New York, N.Y.",,"ProQuest - Ethnic NewsWatch","Spanish",,"FT Gap: 05/14/2003-01/08/2005",33606,"Current",,,,,,
aggregatedNewspapers6649,AggregatedNewspapers,"El Latino",,"ProQuest - Ethnic NewsWatch","Spanish",,,33760,"Current",,,,,,
aggregatedNewspapers6650,AggregatedNewspapers,"El Mensajero; San Francisco, Calif.",,"ProQuest - Ethnic NewsWatch","Spanish",,,33583,33662,,,,,,
aggregatedNewspapers6651,AggregatedNewspapers,"El Mundo; Cambridge, Mass.",,"ProQuest - Ethnic NewsWatch","Spanish",,,33689,34570,,,,,,
aggregatedNewspapers6652,AggregatedNewspapers,"El Mundo; Oakland, Calif.",,"ProQuest - Ethnic NewsWatch","Spanish",,"FT Gap: 01/01/2005-12/31/2005",33548,"Current",,,,,,
aggregatedNewspapers6653,AggregatedNewspapers,"El Nuevo Herald; Miami, Fla.",,"ProQuest - Ethnic NewsWatch","Spanish",,,33679,"Current",,,,,,
aggregatedNewspapers6654,AggregatedNewspapers,"El Pregonero",,"ProQuest - Ethnic NewsWatch","Spanish",,,33589,"Current",,,,,,
aggregatedNewspapers6655,AggregatedNewspapers,"El Sol Del Valle",,"ProQuest - Ethnic NewsWatch","Spanish",,,33548,35726,,,,,,
aggregatedNewspapers6656,AggregatedNewspapers,"El Sol de Texas",,"ProQuest - Ethnic NewsWatch","Spanish",,,33542,38667,,,,,,
aggregatedNewspapers6657,AggregatedNewspapers,"Filipino Express, The",,"ProQuest - Ethnic NewsWatch","English",,,34349,"Current",,,,,,
aggregatedNewspapers6658,AggregatedNewspapers,"Filipino Reporter",,"ProQuest - Ethnic NewsWatch","English",,,33479,"Current",,,,,,
aggregatedNewspapers6659,AggregatedNewspapers,"Finnish American Reporter, The",,"ProQuest - Ethnic NewsWatch","English",,"FT Gap: 01/01/1998-02/01/2000",33679,"Current",,,,,,
aggregatedNewspapers6660,AggregatedNewspapers,"Fort Apache Scout",,"ProQuest - Ethnic NewsWatch","English",,,33627,"Current",,,,,,
aggregatedNewspapers6661,AggregatedNewspapers,"Forward",,"ProQuest - Ethnic NewsWatch","English",,,34341,"Current",,,,,,
aggregatedNewspapers6662,AggregatedNewspapers,"Haiti Observateur",,"ProQuest - Ethnic NewsWatch","English",,,37587,"Current",,,,,,
aggregatedNewspapers6663,AggregatedNewspapers,"Hellenic Times",,"ProQuest - Ethnic NewsWatch","English",,,37287,"Current",,,,,,
aggregatedNewspapers6664,AggregatedNewspapers,"Hmong Times",,"ProQuest - Ethnic NewsWatch","English",,,38777,"Current",,,,,,
aggregatedNewspapers6665,AggregatedNewspapers,"Horizontes",,"ProQuest - Ethnic NewsWatch","English",,,33487,35146,,,,,,
aggregatedNewspapers6666,AggregatedNewspapers,"Hyde Park Citizen",,"ProQuest - Ethnic NewsWatch","English",,,33577,"Current",,,,,,
aggregatedNewspapers6667,AggregatedNewspapers,"Impacto",,"ProQuest - Ethnic NewsWatch","English",,,33757,"Current",,,,,,
aggregatedNewspapers6668,AggregatedNewspapers,"India - West",,"ProQuest - Ethnic NewsWatch","English",,"FT Gap: 01/01/1981-12/31/1981; 01/01/1984-12/31/1984; 01/01/1989-12/31/1989",29364,"Current",,,,,,
aggregatedNewspapers6669,AggregatedNewspapers,"India Abroad; New York edition",,"ProQuest - Ethnic NewsWatch","English",,,32878,"Current",,,,,,
aggregatedNewspapers6670,AggregatedNewspapers,"India in New York",,"ProQuest - Ethnic NewsWatch","English",,"FT Gap: 11/01/2003-11/03/2006",35706,"Current",,,,,,
aggregatedNewspapers6671,AggregatedNewspapers,"Indian Country Today",,"ProQuest - Ethnic NewsWatch","English",,,33976,"Current",,,,,,
aggregatedNewspapers6672,AggregatedNewspapers,"Informador Hispano de Ft. Worth",,"ProQuest - Ethnic NewsWatch","Spanish",,,33676,34250,,,,,,
aggregatedNewspapers6673,AggregatedNewspapers,"International Examiner",,"ProQuest - Ethnic NewsWatch","English",,,33636,"Current",,,,,,
aggregatedNewspapers6674,AggregatedNewspapers,"Irish Voice",,"ProQuest - Ethnic NewsWatch","English",,,33519,"Current",,,,,,
aggregatedNewspapers6675,AggregatedNewspapers,"Italian Voice",,"ProQuest - Ethnic NewsWatch","English",,,32876,"Current",,,,,,
aggregatedNewspapers6676,AggregatedNewspapers,"Jacksonville Free Press, The",,"ProQuest - Ethnic NewsWatch","English",,,35284,"Current",,,,,,
aggregatedNewspapers6677,AggregatedNewspapers,"Jewish Advocate",,"ProQuest - Ethnic NewsWatch","English",,,33472,"Current",,,,,,
aggregatedNewspapers6678,AggregatedNewspapers,"Jewish Chronicle",,"ProQuest - Ethnic NewsWatch","English",,,36895,"Current",,,,,,
aggregatedNewspapers6679,AggregatedNewspapers,"Jewish Exponent",,"ProQuest - Ethnic NewsWatch","English",,,33494,"Current",,,,,,
aggregatedNewspapers6680,AggregatedNewspapers,"Jewish Journal",,"ProQuest - Ethnic NewsWatch","English",,,33479,34704,,,,,,
aggregatedNewspapers6681,AggregatedNewspapers,"Jewish News",,"ProQuest - Ethnic NewsWatch","English",,,35614,"Current",,,,,,
